model_id,model,estimated_capability
59,Mixtral-8x22B-Instruct-v0.1,"[0.18655491, 0.42820755, -3.1466389, 0.24423636, -0.15420145, 0.14321673, -0.2013167, 0.39552236, -0.020606, 0.51115286, 0.23590957, -0.18697952, 0.8285969, 0.7695375, 0.090621345, 0.8123599, 0.52792215, 0.9190407, -0.8753408, 0.57240003]"
60,Mixtral-8x22B-v0.1,"[0.021248404, -1.3091047, 1.2110515, -1.1201748, 0.48187092, 0.902443, 0.56690425, 0.98994815, 0.21479763, -0.2927996, 0.14716803, -0.44170144, -0.05931918, -0.53389966, 0.45915303, 0.014506613, -0.8517486, 2.3902783, -0.07078745, -0.103857316]"
61,Mixtral-8x7B-Instruct-v0.1,"[0.3189963, -1.6059167, -3.1482544, 0.038020354, 0.66841453, -0.38233387, -0.0101373345, -0.3142584, -0.06483967, -0.3773973, 0.5324429, -1.0181912, 0.24712448, -0.7156113, 0.6896567, -0.099370174, -0.81062376, -0.35181916, 0.9138912, -0.45801994]"
62,Mixtral-8x7B-v0.1,"[-0.48221752, 0.020349544, -1.0813898, 1.1501213, 0.257816, 0.17650722, -2.0670784, 0.06513803, -0.35614854, 0.3936369, -0.32879007, -0.055374276, -0.4904493, -0.9762272, 0.67549074, 0.52688354, -0.83870953, 1.1017978, -1.2876782, -0.089283675]"
63,Phi-3-medium-128k-instruct,"[-0.40028757, -0.14062887, -1.4863306, 0.9932576, -0.6823028, -0.9384698, -1.6458389, 0.7660668, -0.0428114, -0.16881008, 0.02471371, -0.11997536, 0.9255463, 0.03340242, 1.2394601, -0.10576411, -0.16942282, 0.5660936, -1.0500051, -0.15665536]"
64,Phi-3-mini-4k-instruct,"[-0.75657, -0.005806115, -3.3167582, 0.98009986, 0.06304749, -0.3044885, 0.23269989, -1.0021653, -0.25310594, 0.6479729, -0.58131284, -0.76286936, 2.2348375, -0.10821701, -0.11976008, 0.58887655, -0.1639543, 0.82654387, -1.3650192, -0.1798788]"
65,Phi-3-small-8k-instruct,"[-0.37866068, -0.063201636, -2.682486, 0.78182256, -0.08224245, -0.11746481, 0.30962494, -1.1938766, 0.39845726, -1.006679, -0.86868715, 0.029923951, 0.59274775, -0.5798377, -1.8405604, -0.033825707, 4.411505, 0.89949, 0.063861094, 0.71703416]"
66,Phi-3.5-MoE-instruct,"[1.2828742, 0.05011066, -0.99602807, 0.8182098, -2.1669772, -0.9840316, 1.2460257, -0.3513574, 0.94954956, 0.32977068, 0.22091955, -0.15781659, 0.63627505, -0.21220012, 1.3801172, -0.31498656, 0.19919424, 1.7499076, -0.96819574, 0.37438616]"
67,Phi-3.5-mini-instruct,"[-0.23330067, -0.13744974, -1.8962045, -0.35221955, -0.8590159, -0.26887324, -1.0427358, -0.22896917, 1.1044225, 0.38302022, -0.012540956, 0.07241718, 0.90641004, 0.51928955, 1.1788757, 1.4081947, 0.0467147, 0.31853762, -1.5891198, -0.21874857]"
68,Phi-4-mini-instruct,"[-0.30581626, -0.3221268, -2.7650394, 0.30993748, 0.31241754, -0.09805278, 0.2959608, 0.35831302, 0.21354878, 0.5068823, -0.7930695, -0.28762037, -0.69107544, 0.37833402, -0.26176277, 0.06915476, 0.99239844, 0.3638953, -1.5222287, 0.22138546]"
69,QwQ-32B,"[-0.3608504, 0.12449143, 1.1962739, 0.41821796, 0.3709799, 0.20825851, -0.09216319, 0.2651101, 0.52333933, 0.23300353, 0.04337021, 0.14252128, -0.70145, 0.09303803, 0.07348218, 0.04319559, 0.2733376, 0.04760213, 1.550331, -0.18614295]"
70,Qwen1.5-1.8B,"[-0.7240327, -0.06428925, -2.2436953, -0.058668002, 0.57879514, 0.29244044, 0.19085322, -1.938094, -0.23443344, -0.21888524, -1.3301152, 0.9732466, -1.9614449, 1.2251099, 0.44432405, 0.2819644, -2.5082283, -2.170758, -1.8564897, -0.1930631]"
71,Qwen1.5-110B,"[-0.15728718, 1.5404216, 0.3641968, -0.74448496, 0.50959754, 0.80450773, -0.39803454, -0.08226179, 1.1217134, -0.48305318, -0.5590703, 1.067282, 0.26184016, 0.79333013, 0.043060124, 0.16949369, -0.7116487, -0.44137657, 0.8106622, 0.18449903]"
