tag,release_date,frontier_score,best_model,best_family,best_model_release_date,is_new_frontier
Logical-Control,2024-05-24,0.004518667571612015,gemini-1.5-pro-001,Gemini,2024-05-24,True
Abstraction-Learning,2024-05-24,0.0044904697942440815,gemini-1.5-pro-001,Gemini,2024-05-24,True
Search-Load,2024-05-24,0.00444725139993733,gemini-1.5-pro-001,Gemini,2024-05-24,True
Coding,2024-05-24,0.0025659849279467423,Phi-3-small-8k-instruct,Others,2024-04-23,False
Science,2024-05-24,0.004533580604702248,gemini-1.5-pro-001,Gemini,2024-05-24,True
Quantitative-Formal,2024-06-07,0.0044852433956499285,gemini-1.5-pro-001,Gemini,2024-05-24,False
Logical-Control,2024-06-07,0.004518667571612015,gemini-1.5-pro-001,Gemini,2024-05-24,False
Abstraction-Learning,2024-06-07,0.0044904697942440815,gemini-1.5-pro-001,Gemini,2024-05-24,False
Search-Load,2024-06-07,0.00444725139993733,gemini-1.5-pro-001,Gemini,2024-05-24,False
Coding,2024-06-07,0.0025659849279467423,Phi-3-small-8k-instruct,Others,2024-04-23,False
Science,2024-06-07,0.004533580604702248,gemini-1.5-pro-001,Gemini,2024-05-24,False
Quantitative-Formal,2024-06-20,0.0044852433956499285,gemini-1.5-pro-001,Gemini,2024-05-24,False
Logical-Control,2024-06-20,0.004518667571612015,gemini-1.5-pro-001,Gemini,2024-05-24,False
Abstraction-Learning,2024-06-20,0.0044904697942440815,gemini-1.5-pro-001,Gemini,2024-05-24,False
Search-Load,2024-06-20,0.00444725139993733,gemini-1.5-pro-001,Gemini,2024-05-24,False
Coding,2024-06-20,0.0025659849279467423,Phi-3-small-8k-instruct,Others,2024-04-23,False
Science,2024-06-20,0.004533580604702248,gemini-1.5-pro-001,Gemini,2024-05-24,False
Quantitative-Formal,2024-06-24,0.0044852433956499285,gemini-1.5-pro-001,Gemini,2024-05-24,False
Logical-Control,2024-06-24,0.004518667571612015,gemini-1.5-pro-001,Gemini,2024-05-24,False
